bik;name;coraccount;isactive;isbank;address
040313716;ОАО 'ГЕЛЕНДЖИК-БАНК';30101810000000000716;1;1;ГЕЛЕНДЖИК, УЛ.ОСТРОВСКОГО,31
044442716;МАГАДАНСКИЙ ФБАНКА 'ВОЗРОЖДЕНИЕ' (ОАО);30101810000000000716;1;1;МАГАДАН, УЛ.ПОРТОВАЯ,3
045655716;ФАКБ 'РОССИЙСКИЙ КАПИТАЛ' (ОАО) ТАРХАНЫ;30101810000000000716;1;1;ПЕНЗА, УЛ.КУЙБЫШЕВА,14
042406718;ЗАО НАЦИОНАЛЬНЫЙ БАНК СБЕРЕЖЕНИЙ;30101810000000000718;1;1;ИВАНОВО, УЛ.БОГДАНА ХМЕЛЬНИЦКОГО,83
044206718;ФИЛИАЛ В Г.ЛИПЕЦК ОАО 'МИНБ';30101810000000000718;1;1;ЛИПЕЦК, УЛ.ГАГАРИНА,76А
048209719;ООО КБ 'КРЕДИТИНВЕСТ';30101810000000000719;1;1;КИЗИЛЮРТ, ПЛ.ГЕРОЕВ,1
047003720;Ф-Л АКИБ 'ОБРАЗОВАНИЕ' (ЗАО) В Г.ТУЛА;30101810000000000720;1;1;ТУЛА, УЛ.ОБОРОННАЯ,25
049690720;ФИЛИАЛ N 10 АКБ МОСОБЛБАНК ОАО;30101810000000000720;1;1;ГРОЗНЫЙ, УЛ.РАБОЧАЯ,64
044206721;ЛИПЕЦКИЙ ФИЛИАЛ ОАО АКБ 'СВЯЗЬ-БАНК';30101810000000000721;1;1;ЛИПЕЦК, УЛ.ЗЕГЕЛЯ, 2
044109722;ОАО 'ВЫБОРГ-БАНК';30101810000000000722;1;1;ВЫБОРГ, УЛ.ПИОНЕРСКАЯ,2
041909722;ФИЛИАЛ ВОЛОГОДСКИЙ ОАО БАНК ВТБ;30101810000000000722;1;1;ВОЛОГДА, ПР.ПОБЕДЫ,39
045773717;ПЕРМСКИЙ Ф-Л 'ДИЛ-БАНК' (ООО);30101810100000000717;1;1;ПЕРМЬ, УЛ.ПОПОВА,21
045402723;ОРЛОВСКИЙ ФИЛИАЛ АБ 'РОССИЯ';30101810000000000723;1;1;ОРЕЛ, УЛ.ТУРГЕНЕВА,23,ПОМ.6А
041424725;ООО 'ОСКОЛБАНК';30101810000000000725;1;1;СТАРЫЙ ОСКОЛ, М-Н ОЛИМПИЙСКИЙ,62
042908725;КФ ОАО 'СМП БАНК';30101810000000000725;1;1;КАЛУГА, УЛ.БАУМАНА,5,ПОМЕЩЕНИЕ 56
044030726;'СЕВЕРО-ЗАПАДНЫЙ' Ф-Л ОАО КБ 'АГРОПРОМКРЕДИТ';30101810000000000726;1;1;САНКТ-ПЕТЕРБУРГ, ПР.НЕПОКОРЕННЫХ,47
044959727;НОВГОРОДСКИЙ ФИЛИАЛ КБ 'НС БАНК' (ЗАО);30101810000000000727;1;1;ВЕЛИКИЙ НОВГОРОД, ВОСКРЕСЕНСКИЙ Б-Р,4
049923728;ДАЛЬНЕВОСТОЧНЫЙ ФИЛИАЛ КБ 'УНИФИН' ЗАО;30101810000000000728;1;1;БИРОБИДЖАН, УЛ.МИЛЛЕРА,8
042007731;ОАО 'АРКСБАНК';30101810000000000731;1;1;ВОРОНЕЖ, ПР.РЕВОЛЮЦИИ,1А
049202736;АЛЬМЕТЬЕВСКИЙ ФИЛИАЛ ЗАО 'СОЛИД БАНК';30101810000000000736;1;1;АЛЬМЕТЬЕВСК, УЛ.МИРА,10
041718737;ОАО 'О.К. БАНК';30101810000000000737;1;1;АЛЕКСАНДРОВ, УЛ.ОКТЯБРЬСКАЯ,14
049205737;КАЗАНСКИЙ ФИЛИАЛ ОАО АКБ 'СВЯЗЬ-БАНК';30101810000000000737;1;1;КАЗАНЬ, УЛ.Р.ЯХИНА,4
044030739;ФИЛИАЛ ОАО КБ 'МАСТ-БАНК' 'НЕВСКИЙ';30101810000000000739;1;1;САНКТ-ПЕТЕРБУРГ, УЛ.НОВОЛИТОВСКАЯ,15
